# ID|Title|Description|Priority|DueDate|IsCompleted|Project
1|Do Math Homework|Chapter 4 exercises 1 to 10|2|2026-06-22|0|Math
2|Submit English Essay|Final draft of the literature review|1|2026-06-23|0|English
3|Read Chapter 5|Read the upcoming chapter for Math class|2|2026-06-24|0|Math
4|Finish DSA Project|Complete the library and app implementation|1|2026-06-25|0|DSA
5|Prepare Presentation Slides|Create slides based on the outline|1|2026-06-28|0|DSA
6|Review C++ Templates|Study template metaprogramming concepts|2|2026-06-30|0|DSA
7|Buy groceries|Milk, eggs, bread, and veggies|3||0|Personal
8|Clean the apartment|Vacuum, dust, and take out the trash|3||0|Personal
9|Setup Git Repository|Initialize and push the initial commit|1|2026-06-15|1|DSA
10|Call Mom|Catch up with family|3|2026-06-21|1|Personal
